 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,姓名,姓,索引（不超过511）,索引（不超过511）,索引（不超过511）,索引（不超过511）,索引（不超过511）,索引（不超过511）,卡册和图鉴中是否显示,对应将魂id,品质,特殊卡,富商卡,筛选类型,互斥分组,兵种 1:枪|2:弓|3:骑,职业,国家 1：魏|2：蜀|3：吴|4：群,性别,武力,智力,兵力,战法,兵装索引,高级兵装索引(适用于五星卡),武力评级[1-D 2-C 3-B 4-A 5-S],智力评级,兵力评级,分解获得铜币数量,分解获得材料,分解获得其他材料(用空格分隔，要修改ID需修改代码),联协名称1,联协武将1(-1无效),联协名称2,联协武将2,联协名称3,联协武将3,联协名称4,联协武将4,联协名称5,联协武将5,联协名称6,联协武将6,联协名称7,联协武将7,普卡技能,真卡技能,鬼卡技能,神卡技能,天卡技能,普卡被动技能(索引CSVPassiveSkills.csv，-1无效),真卡被动技能,鬼卡被动技能,神卡被动技能4,天卡被动技能4,初始特性(使用空格分割，索引CSVFeature.csv),随机特性(使用空格分割，索引CSVFeature.csv),小图片sprite,大图片,半身像,技能语音,技能语音,技能语音,死亡语音,死亡语音,招募语音,4选1语音,介绍,定位介绍,定位类型介绍（肉盾，输出，辅助，核心，召唤）,资质,驭魂索引,子兵种（1：高级枪兵  2：高级弓兵  3：高级骑兵  4：虎骑兵  5：连弩兵 6：藤甲兵 7：盾兵）,钻石卡类型（1：传承系列  2：疾风系列 3:固守系列）
id,strName,strFirstName,nIndex,nIndex,nIndex,nIndex,nIndex,nIndex,bShowInManual,nSoulId,nQuality,bSpecial,richDegree,nFilterType,nExcludeGroup,nMiliType,nStyle,nCountry,nGender,fForce,fIntelligence,fTroops,nZhanfa,nSoldierEquipId,nDiamondEquipID,ForceGrade,IntelligenceGrade,TroopsGrade,nDecomposeCoin,strDecompose,strDecompseExtra,coopName1,coopCardID1,coopName2,coopCardID2,coopName3,coopCardID3,coopName4,coopCardID4,coopName5,coopCardID5,coopName6,coopCardID6,coopName7,coopCardID7,nSkill,nSkill,nSkill,nSkill,nSkill,nPassiveSkill,nPassiveSkill,nPassiveSkill,nPassiveSkill,nPassiveSkill,strDefaultFeatures,strFeaturePool,strSprite,strCard,strPortrait,strSkillVoice,strSkillVoice,strSkillVoice,strSkillVoice,strSkillVoice,strLotteryVoice,strSelectVoice,strDesc,strLocationDesc,strLocationTypeDesc,fPotential,nCardSoulId,nSubMilitype,nDiamondType
uint,string,string,string,string,uint,uint,double,double,bool,int,int,bool,int,int,int,int,int,int,int,int,double,float,int,int,int,int,int,int,int,string,string,string,int,string,int,string,int,string,int,string,int,string,int,string,int,int,int,int,int,int,int,int,int,int,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,float,int,int,int
5001,传承曹操,曹,1,1,1,1,1,1,TRUE,501001,5,TRUE,0,,1001,3,2,1,1,92,96,100,308|309|310|311,5001,0,4,3,4,2500,101 100 10,101 501001 15,痛兮祭酒,1004,爱兮武神,1010,忠兮裨将,1003,忌兮奇狼,1002,贤兮爱妻,1048,勇兮良将,1047,叹兮双雄,1008,500131,500131,500131,500131,500141,0,0,0,0,0,10051 20011 10041,,UITexture/card_list/scard5001,Card/card5001,UI/Texture/Character/NPC/NPC_5001,Audio/Warrior/1001S_01,Audio/Warrior/1001S_02,Audio/Warrior/1001S_03,Audio/Warrior/1001D_01,Audio/Warrior/1001D_02,Audio/Warrior/1001C,Audio/Warrior/1001S_01,“治世之能臣，乱世之奸雄”，一统北方，缔造曹魏政权,[YELLOW]物防高[-]，前排[PINK]肉盾[-],核心,14,5001,3,1
5002,传承夏侯惇,惇,2,2,2,2,2,2,TRUE,501003,5,TRUE,0,,1003,3,1,1,1,95,83,92,308|309|310|311,5002,0,5,2,3,2500,101 100 10,101 501003 15,曹魏的忠魂,1001,二虎不相容,1010,魏武的栋梁,1041,并肩的辅佐,1004,马上的战神,1005,魏国的双雄,1047,NULL,-1,500231,500231,500231,500231,500241,0,0,0,0,0,10021 10091 10061,,UITexture/card_list/scard5002,Card/card5002,UI/Texture/Character/NPC/NPC_5002,Audio/Warrior/1003S_01,Audio/Warrior/1003S_02,Audio/Warrior/1003S_03,Audio/Warrior/1003D_01,Audio/Warrior/1003D_02,Audio/Warrior/1003C,Audio/Warrior/1003S_01,独眼猛将，曾在战中拔箭食眼，令敌军胆寒,普攻伤害[RED]极高[-],输出,14,5002,3,1
5003,传承刘备,刘,3,3,3,3,3,3,TRUE,501008,5,TRUE,0,,1008,1,2,2,1,85,83,96,102|103,5003,0,3,2,4,2500,101 100 10,101 501008 15,桃园结义,1010,桃园结义,1009,三顾之礼,1011,青梅煮酒,1001,甘露招亲,1018,蜀汉之姿,1013,白银雄狮,1014,500331,500331,500331,500331,500341,0,0,0,0,0,10011 20021 10041,,UITexture/card_list/scard5003,Card/card5003,UI/Texture/Character/NPC/NPC_5003,Audio/Warrior/1008S_01,Audio/Warrior/1008S_02,Audio/Warrior/1008S_03,Audio/Warrior/1008D_01,Audio/Warrior/1008D_02,Audio/Warrior/1008C,Audio/Warrior/1008S_01,一生为匡复汉室而奔走，虽易感情用事，却是位不可多得的仁主,受击能[GREEN]回血[-]，前排[PINK]肉盾[-],核心,14,5003,1,1
5004,传承关羽,关,4,4,4,4,4,4,TRUE,501010,5,TRUE,0,,1010,1,1,2,1,98,85,93,102|103,5004,0,4,2,4,2500,101 100 10,101 501010 15,桃园结义,1008,魂断月下,1024,桃园结义,1009,蜀汉之姿,1013,亲疏之谜,1011,武之巅峰,1022,NULL,-1,500431,500431,500431,500431,500441,0,0,0,0,0,10021 10011 10091,,UITexture/card_list/scard5004,Card/card5004,UI/Texture/Character/NPC/NPC_5004,Audio/Warrior/1010S_01,Audio/Warrior/1010S_02,Audio/Warrior/1010S_03,Audio/Warrior/1010D_01,Audio/Warrior/1010D_02,Audio/Warrior/1010C,Audio/Warrior/1010S_01,五虎上将之首，勇如一国，可敌万人，被后世尊为武圣,[BLUE]弱化大师[-]，前排[RED]输出[-],输出,14,5004,1,1
5005,传承孙权,孙,5,5,5,5,5,5,TRUE,501015,5,TRUE,0,,1015,2,3,3,1,78,95,98,204|205,5005,0,3,4,3,2500,101 100 10,101 501015 15,霸兄,1017,国玺,1016,枭妹,1018,亲相,1019,虎臣,1021,烈将,1020,奇将,1042,500531,500531,500531,500531,500541,0,0,0,0,0,10041 10051 20021,,UITexture/card_list/scard5005,Card/card5005,UI/Texture/Character/NPC/NPC_5005,Audio/Warrior/1015S_01,Audio/Warrior/1015S_02,Audio/Warrior/1015S_03,Audio/Warrior/1015D_01,Audio/Warrior/1015D_02,Audio/Warrior/1015C,Audio/Warrior/1015S_01,继承父兄之业，雄踞江东，建立孙吴王朝,[BLUE]克制魏国[-]的击退弓手,核心,14,5005,2,1
5006,传承孙尚香,香,6,6,6,6,6,6,TRUE,501018,5,TRUE,0,,1018,2,1,3,2,162,114,208,204|205,5006,24,4,3,3,2500,101 100 10,101 501018 15,霸王吾兄,1017,夫君出去,1008,贤良之母,1046,狡黠蜀相,1011,不跟你回去,2024,吴国老将,2028,NULL,-1,500631,500631,500631,500631,500641,0,0,0,0,0,10071 10061 10081,,UITexture/card_list/scard5006,Card/card5006,UI/Texture/Character/NPC/NPC_5006,Audio/Warrior/5006S,Audio/Warrior/5006S,Audio/Warrior/5006S,Audio/Warrior/5006D,Audio/Warrior/5006D,Audio/Warrior/5006S,Audio/Warrior/5006S,[YELLOW]闪耀江东的明珠,后排战法型[RED]输出[-],辅助,14,5006,2,1
